category,date,title,menu,kcal
점심,2017년 10월 12일 목요일,쌀밥,쌀밥 콩나물두부국 5.9.13. 돼지갈비감자찜 5.6.10.13. 가지나물 5.6.13. 배추김치 9.13. 파인애플 우유 2.,557 kcal
점심,2017년 10월 13일 금요일,찰밥,찰밥 5. 설렁탕(국수) 1.5.6.13. 코다리강정조림 5.6.13. 군고구마 열무김치 9.13. 조미김 13. 우유 2.,
점심,2017년 10월 16일 월요일,쌀밥,쌀밥 짬뽕국 5.6.9.13. 숙주나물 한우김치떡갈비 1.2.5.6.9.10.13. 배추김치 9.13. 멜론 우유 2.,576 kcal
점심,2017년 10월 17일 화요일,찰밥,찰밥 2 미역국(바지락) 5.6.13.17.18. 돈육메추리알장조림 1.5.6.10.13. 깍두기 9.13. 흑임자연근샐러드 1.5.12. 우유 2.6.,599 kcal
점심,2017년 10월 18일 수요일,카레밥,쌀밥 파니르커리 2.5.6.10.12.13. 오징어링튀김 2.5.6.12.13. 오이김치 9.13. 보리빵 1.2.5.6.13. 우유 2.,628 kcal
점심,2017년 10월 19일 목요일,수수밥,수수밥 콩나물국 5.9.13. 참치김치볶음 5.9.13. 고구마튀김 2.5.6. 탄두리닭봉구이 2.5.6.12.13. 배 우유 2.,638 kcal
점심,2017년 10월 20일 금요일,서리태밥,서리태밥 5. 미역국(대합살) 5.6.13. 연근조림 5.6.13. 쇠고기야채볶음 5.6. 배추김치 9. 대추토마토 12. 우유 2.,572 kcal
점심,2017년 10월 23일 월요일,잡곡밥,잡곡밥 바지락콩나물국 5.9.13. 낙지볶음 5.6.13. 열무김치 9.13. 옥수수알치즈구이 1.2.5.6.12.13. 우유 2.6,
점심,2017년 10월 24일 화요일,현미밥,현미밥 육개장 5.6.13. 버섯애호박볶음 9.13. 닭꼬치 5.6.10.12.13. 총각김치 9.13. 망고 우유 2.6,562 kcal
점심,2017년 10월 25일 수요일,짜장밥,짜장밥(소고기)1.2.5.6.10.13.16 탕수육1.2.5.6.10.12.13. 깍두기9. 사과/ 우유2.,645 kcal
점심,2017년 10월 26일 목요일,기장밥,기장밥 떡국(2) 1.5.6.13. 꽁치김치무조림 5.6.7.8.9.12.13.17.18. 콩나물무침 5. 돌김자반 13. 요구르트 2. 우유 2.,622 kcal
점심,2017년 10월 27일 금요일,찰밥,찰밥 5. 시금치모시조개국 5.6.13. 수제소시지채소볶음 1.2.5.6.10.13.14.15.16.17.18. 깍두기 9.13. 인도커리와 난(빵) 1.2.5.6.10.13. 우유 2.,645 kcal
점심,2017년 10월 30일 월요일,흑미밥,흑미밥 단배추된장국 5.6.13. 감자부각 5. 훈제오리무쌈 1.5.13. 열무김치 9.13. 우유2,623 kcal
점심,2017년 10월 31일 화요일,현미밥,현미밥 미역국(바지락) 5.6.13. 돼지고기두루치기 5.6.10.13. 배추김치 9.13. 우렁이강된장 5.6.8.13. 로메인 5.6.13. 우유 2,593 kcal
점심,2017년 11월 01일 수요일,수요일,기장밥 바지락콩나물국5.9.13.18 소고기무우찜5.6.13.16배추김치9.13. 잡채1.5.6.8.10.13. 대추토마토12.우유2.,605 kcal
점심,2017년 11월 02일 목요일,목요일,현미밥 육개장5.6.13.16.18.16 연어스테이크1.5.13. 열무김치9.13. 흑임자연근샐러드1.5.12.우유2,554 kcal
아침,2017년 11월 03일 금요일,금요일,찰밥2 쇠고기무국5.6.8.13.16 취나물들깨볶음5.6.13. 탕수육1.2.5.6.10.12.13. 깍두기9.13.우유2,622 kcal
