name,date,title,content
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-03-21,학교운영위원회 학부모위원 보궐선거 (공고) 홍보,학교운영위원회 학부모위원 보궐선거 (공고) 홍보 입니다.
배수연,2023-03-21,2023학년도 1학기 교과평가 안내,2023학년도 1학기 교과평가 안내 입니다.
배수연,2023-03-21,2023학년도 1학기 임원 리더십 교육 안내,2023학년도 1학기 임원 리더십 교육 안내 입니다.
배수연,2023-03-21,2023 강남서초 <학생기후행동365> 운영 및 학생 모집안내,2023 강남서초 <학생기후행동365> 운영 및 학생 모집안내 입니다.
배수연,2023-03-21,2023 대현초 학부모회임원 입후보 소견 및 학부모총회안내,2023 대현초 학부모회임원 입후보 소견 및 학부모총회안내 입니다.
배수연,2023-03-21,2023학년도 1학기 도서관 희망도서 신청 안내,2023학년도 1학기 도서관 희망도서 신청 안내 입니다.
최유미,2023-03-17,2023학년도 교내학생과학발명품 경진대회 안내,"2023학년도 교내학생과학발명품 경진대회 안내 가정통신문과 작품요약서 양식을 첨부합니다.

참가를 희망하는 학생은 첨부파일의 <작품요약서>를 다운로드받아 작성하시기 바랍니다."
배수연,2023-03-13,2023 학교.학급 설명회 및 학부모 총회 개최 안내,2023 학교.학급 설명회 및 학부모 총회 개최 안내 입니다.
배수연,2023-03-13,2023 대현초 학부모회 단체 학급대표 신청 안내,2023 대현초 학부모회 단체 학급대표 신청 안내 입니다.
배수연,2023-03-10,초등학교 1학년 한글책임교육 안내,초등학교 1학년 한글책임교육 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-03-10,제40회 서울소년체육대회 겸 제52회 전국소년체육대회 서울대표 선발전 참가 신청 안내,"제40회 서울소년체육대회 겸 제52회 전국소년체육대회 서울대표 선발전 
참가 신청 안내 입니다."
배수연,2023-03-10,서울대현초등학교 학부모회 임원 선출 안내,서울대현초등학교 학부모회 임원 선출 안내 입니다.
배수연,2023-03-10,서울대현초등학교 운영위원회 학부모위원 보궐선거 홍보,서울대현초등학교 운영위원회 학부모위원 보궐선거 홍보 안내 입니다.
배수연,2023-03-10,2023 녹색학부모 조직 및 일정협조 안내,2023 녹색학부모 조직 및 일정협조 안내 입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023학년도 초등 교외체험학습 운영 안내,
배수연,2023-03-08,2023학년도 진단활동 안내,2023학년도 진단활동 안내 입니다.
배수연,2023-03-08,안전한 등하교를 위한 주의 사항 안내,안전한 등하교를 위한 주의 사항 안내 입니다.
배수연,2023-03-08,어린이 통학차량 안심 승하차존 안내,어린이 통학차량 안심 승하차존 안내 입니다.
배수연,2023-03-08,인권친화적 학교문화조성을 위한 안내,인권친화적 학교문화조성을 위한 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-03-08,2023학년도 교육급여 바우처 신청 안내,2023학년도 교육급여 바우처 신청 안내 입니다.
배수연,2023-03-08,2023 강남서초 <달달한 학부모 아카데미> 맞춤형 연수 주제선정 수요 조사 안내,2023 강남서초 <달달한 학부모 아카데미> 맞춤형 연수 주제선정 수요 조사 안내 입니다.
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-03-08,등하교 안심문자 서비스 신청 안내,등하교 안심문자 서비스 신청 안내 입니다.
배수연,2023-03-08,2023년 교육비 및 교육급여 집중신청 기간 동시신청 안내,2023년 교육비 및 교육급여 집중신청 기간 동시신청 안내 입니다.
배수연,2023-03-08,"2023학년도 3,4월 영재교육원 모집 안내","2023학년도 3,4월 영재교육원 모집 안내 입니다."
배수연,2023-03-08,2023.3.1.자 학교장 부임 인사 안내,2023.3.1.자 학교장 부임 인사 안내 입니다.
배수연,2023-03-08,2023학년도 학교폭력 전담기구 학부모 구성원 추천 안내,2023학년도 학교폭력 전담기구 학부모 구성원 추천 안내 입니다.
배수연,2023-03-08,입학준비금 추가 신청 안내,입학준비금 추가 신청 안내 입니다.
배수연,2023-03-08,학교생활기록부 행정정보공유 연계시스템,학교생활기록부 행정정보공유 연계시스템 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-03-08,2023학년도 초등 교외체험학습 운영 안내,2023학년도 초등 교외체험학습 운영 안내 입니다.
배수연,2023-03-08,1학년 신입생 학부모 전환기 교육 안내,1학년 신입생 학부모 전환기 교육 안내 입니다.
배수연,2023-03-08,전교어린이회 임원 선거,전교어린이회 임원 선거 입니다.
배수연,2023-03-08,e알리미 정보제공동의서 안내,e알리미 정보제공동의서 안내 입니다.
배수연,2023-03-08,학생건강상태조사 및 학교응급환자관리안내,학생건강상태조사 및 학교응급환자관리안내 입니다.
배수연,2023-03-08,마음방역(우리집 가족놀이) 3월 신청 안내,마음방역(우리집 가족놀이) 3월 신청 안내 입니다.
배수연,2023-03-08,2023년 우유미급식 아동조사 안내,2023년 우유미급식 아동조사 안내 입니다.
배수연,2023-03-08,2023년 알레르기조사 가정통신문,2023년 알레르기조사 가정통신문 입니다.
최유미,2023-03-02,"2023학년도 3,4월 영재교육원 모집 안내","2023학년도 3,4월 영재교육원 모집 안내"
배수연,2023-02-27,2023학년도 1학년 신입생 학부모 연수 개최 안내,2023학년도 1학년 신입생 학부모 연수 개최 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-01-31,실내 마스크 착용 의무 조정에 따른 학교 적용사항 안내,실내 마스크 착용 의무 조정에 다른 학교 적용사항 안내 입니다.
배수연,2023-01-31,탄력적 교육과정 운영에 따른 학년말 수업시간 변경 안내,탄력적 교육과정 운영에 따른 학년말 수업시간 변경 안내 입니다.
배수연,2023-01-31,2023학년도 1학기 농촌유학 추가 모집 안내,2023학년도 1학기 농촌유학 추가 모집 안내 입니다.
배수연,2023-01-31,"겨울방학 선물, SW.AI 교육캠프 [디지털 새싹] 안내","겨울방학 선물, SW.AI 교육캠프 [디지털 새싹] 안내 입니다."
배수연,2023-01-31,2023학년도 학교회계 예산편성에 따른 학부모 및 학생의견 안내,2023학년도 학교회계 예산편성에 따른 학부모 및 학생의견 안내 입니다.
